what,kind,bundleId,bundleVersion,description,time
executed,command,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1489108253221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108253501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108303419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108305299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108523651
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489108523695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108525435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108527246
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489108528615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108531633
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489108532334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108532340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108572616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108584109
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489108584152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108594390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108782083
executed,command,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1489108784413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108784707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108928326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108933300
error,log,,,"Unhandled event loop exception",1489108946130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489108953828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489109009786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489109013658
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1490023310318
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1490023310318
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1490023310319
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1490023310328
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1490023310338
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1490023310339
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1490023310339
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1490023310340
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1490023310340
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1490023310341
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1490023310348
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1490023310353
